id,component,manufacturer,part_number,url,dominant_class,dominant_prose,secondary_class,dim_mm,max_dim_mm,triangles,watertight,non_manifold_edges
obj01,Locking element,Duri Mitec,,https://www.traceparts.com/en/product/duri-mitec-dr500?CatalogPath=TRACEPARTS%3ATP01004006&Product=90-06072021-044573,A2,Axisymmetric body,"D1, C2",56.0 x 45.0 x 45.0,56.0,3448,yes,0
obj02,Orbital hydraulic motor,Jining Kersen,,https://www.traceparts.com/en/product/jining-kersen-low-speed-high-torque-orbital-hydraulic-motors-smk-series?CatalogPath=TRACEPARTS%3ATP07004003&Product=50-21032016-105152,A2,Axisymmetric body,"A3, D2",119.5 x 133.3 x 277.5,277.5,8580,no,31
obj03,Linear head unit,Oriental Motor USA Corp.,AGL5H18,https://www.traceparts.com/en/product/oriental-motor-usa-corp-agl5h18-linear-heads?CatalogPath=TRACEPARTS%3ATP01004002002&Product=90-21072023-030049,A1,Prismatic body,"A3, B1",140.0 x 257.6 x 82.0,257.6,10588,yes,0
obj04,Cam indexer,"SATA Automation Co., Ltd.",110DA Series,https://www.traceparts.com/en/product/sata-automation-co-ltd-cam-indexers-110da-series?CatalogPath=TRACEPARTS%3ATP01004006&Product=50-09112020-116239,A1,Prismatic body,"B3, A3",330.0 x 318.5 x 163.0,330.0,12788,yes,0
obj05,Worm-gear brake unit,Cherubini,7347,https://www.traceparts.com/en/product/cherubini-softbrake-worm-gear-ratio-551?CatalogPath=TRACEPARTS%3ATP01005004005&Product=70-01042016-136115&PartNumber=7347,A2,Axisymmetric body,"B1, B3, C2",61.9 x 63.0 x 21.0,63.0,12874,yes,0
obj06,Rotary swivel unit,isel Germany GmbH,269063 2125,https://www.traceparts.com/en/product/isel-germany-gmbh-accessories-clamping-3jaw-chuck-o-125?CatalogPath=TRACEPARTS%3ATP01004006&Product=32-14022023-085564&PartNumber=269063%202125,A2,Axisymmetric body,"D1, C2",99.9 x 125.0 x 125.0,125.0,13326,yes,0
obj07,Pressure-motive pump,Watson McDaniel,PMPF,https://www.traceparts.com/en/product/watson-mcdaniel-pmpf-pressure-motive-pump?CatalogPath=TRACEPARTS%3ATP06010001&Product=90-05042022-056584,A2,Axisymmetric body,"A3, C2",452.0 x 750.4 x 700.9,750.4,15118,no,8
obj08,Air bearing,LAB Motion Systems,RT150U,https://www.traceparts.com/en/product/lab-motion-systems-air-bearing-rt150u?CatalogPath=TRACEPARTS%3ATP01004006&Product=33-23122022-070972,A2,Axisymmetric body,C2,160.0 x 103.5 x 179.4,179.4,22192,no,57
obj09,Flange ball bearing unit,MÄDLER GmbH,62699012,https://www.traceparts.com/en/product/madler-ball-flange-bearing-ssucf-201-bore-12mm-housing-and-bearing-insert-fom-stainless-steel?CatalogPath=TRACEPARTS%3ATP01002002003001&Product=90-11032024-030509&PartNumber=62699012,A2,Axisymmetric body,"B3, C2",33.3 x 88.5 x 86.0,88.5,7114,yes,0
obj10,Pillow-block bearing unit,NTN Bearing Company,UCPX-1,https://www.traceparts.com/en/product/motion-industries-pillow-block-ball-bearing-unit-10000-in-id-nonexpansion-bearing-fixed?CatalogPath=TRACEPARTS%3ATP01002002003&Product=90-20102020-052019&PartNumber=UCPX-1,A1,Prismatic body,"B2, C2",165.1 x 47.6 x 83.3,165.1,11360,yes,0
obj11,Miniature gearbox,Gimec Trasmissioni S.r.l.,Electric Car 05 - Gearbox,https://www.traceparts.com/en/product/gimec-trasmissioni-srl-electric-car-05-gearbox?CatalogPath=TRACEPARTS%3ATP01005004006&Product=90-01072019-047375,A1,Prismatic body,"B2, D2",168.0 x 254.1 x 121.5,254.1,93284,no,3
obj12,Rack-and-pinion pneumatic actuator,SMS TORK,TORK-RA120SR,https://www.traceparts.com/en/product/sms-tork-rack-and-pinion-pneumatic-actuators?CatalogPath=TRACEPARTS%3ATP01004002&Product=90-27102023-049425&PartNumber=TORK-RA120SR,A1,Prismatic body,"A2, D2",153.3 x 177.8 x 345.0,345.0,326390,no,646
obj13,Magnetic gripper,SCHMALZ,10.01.17.00664,https://www.traceparts.com/en/product/schmalz-magnetic-gripper?CatalogPath=TRACEPARTS%3ATP08001003&Product=33-13062019-087794&PartNumber=10.01.17.00664,A1,Prismatic body,C2,121.0 x 99.4 x 40.0,121.0,38362,no,37
obj14,Needle gripper,SCHMALZ,10.01.29.00568,https://www.traceparts.com/en/product/schmalz-vacuum-technology-needle-grippers?CatalogPath=TRACEPARTS%3ATP08001003&Product=33-13062019-088444&PartNumber=10.01.29.00568,A3,Slender protrusion,"A1, C2",48.1 x 290.5 x 140.2,290.5,10306,yes,0
