objek,berkas,dim_mm,ukuran_maks_mm,segitiga_gt,komponen,watertight,tepi_batas,tepi_nonmanifold,euler,genus,rasio_aspek,kepipihan,isi_bbox,rasio_luas_thd_hull,rasio_volume_thd_hull,luas_hadap_atas,luas_hadap_bawah,luas_hadap_samping,terlihat_elev0,terlihat_elev10,terlihat_elev20,terlihat_elev30,terlihat_elev40,delta_terlihat_0_20,luas_terlihat_sisi0,luas_terlihat_atas,luas_atas_saja,luas_tak_terlihat
obj01,obj01_dr500,56.0 x 45.0 x 45.0,56.0,3448,1,True,0,0,-12,7,1.25,0.803,0.468,1.493,0.609,0.2301,0.233,0.5369,0.6808,0.7087,0.6982,0.6657,0.6381,0.0174,0.6808,0.2299,0.0426,0.2766
obj02,obj02_motor_smk,119.5 x 133.3 x 277.5,277.5,8580,1,False,0,31,16,,2.32,0.431,0.533,1.341,0.746,0.1444,0.1421,0.7135,0.6091,0.6903,0.6856,0.6711,0.6575,0.0765,0.6091,0.0945,0.084,0.3069
obj03,obj03_agl5h18,140.0 x 257.6 x 82.0,257.6,10588,7,True,0,0,-12,13,3.14,0.318,0.266,1.523,0.42,0.2113,0.215,0.5737,0.3967,0.4992,0.5115,0.5087,0.5025,0.1148,0.3967,0.1359,0.1041,0.4992
obj04,obj04_indexer_110da,330.0 x 318.5 x 163.0,330.0,12788,7,True,0,0,0,7,2.02,0.494,0.451,1.213,0.707,0.2215,0.2227,0.5558,0.4904,0.6398,0.6543,0.6509,0.6458,0.1639,0.4904,0.2029,0.1513,0.3584
obj05,obj05_softbrake_7347,61.9 x 63.0 x 21.0,63.0,12874,7,True,0,0,-34,24,2.99,0.334,0.399,2.939,0.504,0.2353,0.2329,0.5318,0.2633,0.3652,0.3876,0.4114,0.4363,0.1243,0.2633,0.1477,0.1232,0.6135
obj06,obj06_swivel_dsh,99.9 x 125.0 x 125.0,125.0,13326,12,True,0,0,-6,15,1.25,0.799,0.51,2.265,0.709,0.1916,0.1944,0.614,0.6488,0.6562,0.6348,0.5904,0.5662,-0.014,0.6488,0.1595,0.0445,0.3067
obj07,obj07_pmpf_pump,452.0 x 750.4 x 700.9,750.4,15118,1,False,0,8,-4,,1.66,0.602,0.344,0.964,0.644,0.2495,0.2506,0.4998,0.811,0.8436,0.8188,0.7791,0.7398,0.0078,0.811,0.3066,0.0648,0.1242
obj08,obj08_air_bearing,160.0 x 103.5 x 179.4,179.4,22192,6,False,0,57,-37,,1.73,0.577,0.741,2.909,0.861,0.1648,0.1647,0.6706,0.5827,0.6188,0.6065,0.5863,0.5541,0.0238,0.5827,0.1168,0.0539,0.3634
obj09,obj09_flangebearing_ssucf,33.3 x 88.5 x 86.0,88.5,7114,5,True,0,0,-8,9,2.66,0.376,0.459,1.536,0.655,0.1856,0.1881,0.6263,0.6959,0.7373,0.734,0.7105,0.6842,0.0381,0.6959,0.123,0.0404,0.2637
obj10,obj10_pillowblock_ucpx1,165.1 x 47.6 x 83.3,165.1,11360,2,True,0,0,-32,18,3.47,0.288,0.345,1.744,0.55,0.2352,0.2421,0.5227,0.4014,0.4824,0.507,0.5096,0.5054,0.1056,0.4014,0.1761,0.0649,0.5337
