objek,dCD_s42,dCD_s123,dCD_s777,dCD_rerata,arah,sd_cd_0,sd_cd_20,rasio_efek_rentang,sumber
obj01,-0.005518,-0.001323,-0.002308,-0.00305,3 memburuk,0.001165,0.001856,0.850911,e4lama+seed42
obj02,0.0111,0.002572,0.002261,0.005311,3 membaik,0.005386,0.004463,0.521146,e4lama+seed42
obj03,-0.022856,0.036975,0.000303,0.004807,campur,0.011694,0.023179,0.117286,e4lama+seed42
obj04,0.012218,0.010813,0.011644,0.011558,3 membaik,0.001942,0.002067,2.909221,e4lama+seed42
obj05,0.060622,0.0608,0.024438,0.04862,3 membaik,0.023656,0.003486,1.130303,kanonik+seed42
obj06,-0.003986,-0.001029,-0.000356,-0.00179,3 memburuk,0.002675,0.001461,0.34232,e4lama+seed42
obj07,0.0108,0.009321,0.002949,0.00769,3 membaik,0.002106,0.002218,1.830081,e4lama+seed42
obj08,0.002919,-0.002208,0.004368,0.001693,campur,0.001968,0.001802,0.431557,e4lama+seed42
obj09,0.005793,0.006266,8.4e-05,0.004048,3 membaik,0.004969,0.001562,0.438012,kanonik+seed42
obj10,0.010806,0.003432,0.008515,0.007584,3 membaik,0.003549,0.000225,1.094105,kanonik+seed42
obj11,0.002621,-0.001389,-0.003474,-0.000747,campur,0.001376,0.002052,0.184983,kanonik+seed42
obj12,0.001047,0.00105,-1e-06,0.000699,campur,0.000581,0.000161,0.621037,kanonik+seed42
obj13,-0.012447,-0.014871,-0.007286,-0.011535,3 memburuk,0.001204,0.003057,1.88938,kanonik+seed42
obj14,0.005323,0.007394,0.075508,0.029408,3 membaik,0.039391,0.000548,0.425148,kanonik+seed42
obj15,0.001158,0.001875,-0.000711,0.000774,campur,0.00026,0.001076,0.373552,kanonik+seed42
obj16,-0.001171,0.003248,0.000154,0.000744,campur,0.002046,0.000406,0.196115,kanonik+seed42
obj17,0.002218,0.003717,0.005134,0.00369,3 membaik,0.000177,0.001321,1.399722,kanonik+seed42
obj18,-0.001009,0.000864,0.001292,0.000382,campur,0.001457,0.00026,0.13582,kanonik+seed42
obj19,0.006515,0.012627,0.005903,0.008348,3 membaik,0.003321,0.001738,1.265858,kanonik+seed42
obj20,0.079968,0.084771,0.028663,0.064467,3 membaik,0.028207,0.003622,1.226968,kanonik+seed42
obj21,0.022428,0.029864,0.007415,0.019902,3 membaik,0.004972,0.009124,1.19469,kanonik+seed42
obj22,0.002266,0.012382,0.004685,0.006444,3 membaik,0.006197,0.001062,0.530311,kanonik+seed42
obj23,6.5e-05,-0.000346,0.000288,2e-06,campur,0.000192,0.000192,0.006358,kanonik+seed42
obj24,0.085008,0.004318,0.00166,0.030329,3 membaik,0.045833,0.002848,0.377063,kanonik+seed42
obj25,0.094843,0.032567,0.022019,0.04981,3 membaik,0.040733,0.001593,0.655597,kanonik+seed42
obj26,0.001097,0.000414,0.000974,0.000828,3 membaik,0.000432,0.000765,0.542103,kanonik+seed42
obj27,0.006417,0.004041,0.00844,0.006299,3 membaik,0.001319,0.001409,2.527822,kanonik+seed42
obj28,-0.000768,-0.000354,0.00078,-0.000114,campur,0.002491,0.002001,0.022882,kanonik+seed42
obj29,0.001266,0.001271,0.004408,0.002315,3 membaik,0.001838,0.000728,0.634768,kanonik+seed42
obj30,-0.001414,-0.0011,-0.001673,-0.001396,3 memburuk,0.000587,0.000849,0.857289,kanonik+seed42
