objek,elevasi,terlihat,evidensi,tak_terlihat,theta_median_terlihat,luas_theta_0-15,luas_theta_15-30,luas_theta_30-45,luas_theta_45-60,luas_theta_60-75,luas_theta_75-90
obj01,0,0.68081,0.5176,0.31918,26.75815,0.2725,0.0812,0.0925,0.08798,0.0786,0.06803
obj01,10,0.70868,0.52053,0.29132,29.6,0.27158,0.08759,0.0942,0.08583,0.07805,0.09143
obj01,20,0.69817,0.51878,0.30183,27.29865,0.08385,0.28342,0.08614,0.08242,0.11681,0.04553
obj01,30,0.66568,0.50138,0.33432,30.0,0.08449,0.28285,0.09207,0.08191,0.09076,0.03361
obj01,40,0.63812,0.4692,0.36188,40.0,0.08479,0.08146,0.29798,0.0866,0.05162,0.03565
obj02,0,0.60911,0.56052,0.39089,10.90256,0.36134,0.13362,0.07338,0.02396,0.00882,0.00799
obj02,10,0.69032,0.55923,0.30968,17.47115,0.31176,0.17325,0.069,0.0263,0.01037,0.09964
obj02,20,0.68563,0.54278,0.31437,24.47108,0.00147,0.45382,0.0865,0.02403,0.11096,0.00884
obj02,30,0.67114,0.51038,0.32886,32.98452,0.00199,0.07623,0.41805,0.05756,0.11112,0.00619
obj02,40,0.65748,0.46436,0.34252,42.09984,0.00432,0.00435,0.43417,0.19751,0.00974,0.0074
obj03,0,0.39673,0.34317,0.60327,0.0,0.24543,0.03026,0.05191,0.0351,0.01832,0.01571
obj03,10,0.49917,0.35634,0.50083,21.70278,0.23728,0.04091,0.03494,0.04192,0.02433,0.11979
obj03,20,0.5115,0.36565,0.48851,27.23281,0.00996,0.25999,0.04528,0.04115,0.14069,0.01443
obj03,30,0.50867,0.36321,0.49133,32.2769,0.01117,0.16639,0.12151,0.05732,0.14219,0.0101
obj03,40,0.50245,0.35006,0.49755,40.32768,0.01409,0.00911,0.26869,0.18349,0.01665,0.01042
obj04,0,0.49036,0.42203,0.50964,2.51726,0.29014,0.0599,0.0701,0.01132,0.0232,0.0357
obj04,10,0.63984,0.45219,0.36016,23.70165,0.28321,0.06979,0.07157,0.02408,0.02448,0.1667
obj04,20,0.65432,0.47041,0.34568,29.20106,0.00831,0.32621,0.07346,0.05566,0.17979,0.01088
obj04,30,0.65092,0.47112,0.34908,35.40363,0.00923,0.21896,0.16811,0.07962,0.16487,0.01014
obj04,40,0.64579,0.45669,0.35422,41.46983,0.00902,0.02112,0.34238,0.25366,0.00948,0.01012
obj05,0,0.26333,0.20244,0.73667,29.28665,0.07415,0.05777,0.05651,0.0229,0.03364,0.01836
obj05,10,0.3652,0.22005,0.6348,38.62019,0.05892,0.06982,0.06607,0.02488,0.02366,0.12186
obj05,20,0.38756,0.24737,0.61244,40.324,0.00873,0.12848,0.07436,0.02664,0.12657,0.02279
obj05,30,0.41137,0.27109,0.58863,44.51112,0.00843,0.02609,0.18404,0.03642,0.13933,0.01707
obj05,40,0.43627,0.28499,0.56373,50.0,0.0117,0.01406,0.15632,0.19854,0.03853,0.01712
obj06,0,0.64879,0.51373,0.35121,4.39426,0.35296,0.04832,0.05867,0.0597,0.06623,0.06291
obj06,10,0.65622,0.50247,0.34378,11.95394,0.33664,0.05228,0.05646,0.06943,0.06583,0.07558
obj06,20,0.63483,0.48345,0.36517,20.0,0.05144,0.33171,0.06667,0.05715,0.07416,0.05368
obj06,30,0.59041,0.45172,0.40959,30.0,0.05328,0.30031,0.08629,0.05287,0.07074,0.02693
obj06,40,0.56622,0.41278,0.43378,40.0,0.05475,0.06889,0.30585,0.0674,0.03735,0.03198
